"filename", "language", "Makefile", "C", "C++", "Shell Script", "Properties", "Markdown", "nasm", "comment", "blank", "total"
"c:\msys64\home\N0ne\myos\src\lib\syscall_arch.c", "C", 0, 38, 0, 0, 0, 0, 0, 1, 5, 44
"c:\msys64\home\N0ne\myos\src\mm\kheap.c", "C", 0, 80, 0, 0, 0, 0, 0, 8, 11, 99
"c:\msys64\home\N0ne\myos\src\mm\pmm.c", "C", 0, 35, 0, 0, 0, 0, 0, 4, 6, 45
"c:\msys64\home\N0ne\myos\src\mm\vmm.c", "C", 0, 116, 0, 0, 0, 0, 0, 28, 26, 170
"c:\msys64\home\N0ne\myos\src\net\net.c", "C", 0, 347, 0, 0, 0, 0, 0, 68, 70, 485
"c:\msys64\home\N0ne\myos\tinycc\build_tcc.sh", "Shell Script", 0, 0, 0, 73, 0, 0, 0, 4, 10, 87
"c:\msys64\home\N0ne\myos\tinycc\config.h", "C++", 0, 0, 20, 0, 0, 0, 0, 4, 5, 29
"c:\msys64\home\N0ne\myos\tinycc\dwarf.h", "C++", 0, 0, 837, 0, 0, 0, 0, 118, 92, 1047
"c:\msys64\home\N0ne\myos\tinycc\elf.h", "C++", 0, 0, 2577, 0, 0, 0, 0, 386, 362, 3325
"c:\msys64\home\N0ne\myos\tinycc\fake_inc\assert.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\msys64\home\N0ne\myos\tinycc\fake_inc\ctype.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\msys64\home\N0ne\myos\tinycc\fake_inc\errno.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\msys64\home\N0ne\myos\tinycc\fake_inc\fcntl.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
